year,genre_share
2001,4e-5
2002,8e-5
2003,1.6e-4
2004,6.7e-4
2005,0.00411
2006,8e-4
2007,7.1e-4
2008,0.06055
2009,0.00189
2010,0.04903
2011,0.11917
2012,0.11297
2013,0.24779
2014,0.17553
2015,0.24791
2016,0.00481
2017,0.19844
2018,0.17559
2019,0.198
2020,0.1042
2021,0.10983
2022,0.0571
2023,0.00722
2024,0.00574
2025,0.01492
