topic,theta_bar_k,is_genre
EU01,0.03744,TRUE
EU02,0.03174,FALSE
EU03,0.06474,FALSE
EU04,0.134,FALSE
EU05,0.08678,FALSE
EU06,0.0569,FALSE
EU07,0.10845,FALSE
EU08,0.04663,FALSE
EU09,0.04242,FALSE
EU10,0.10843,FALSE
EU11,0.0515,FALSE
EU12,0.03491,TRUE
EU13,0.05368,FALSE
EU14,0.09148,FALSE
EU15,0.05091,FALSE
