year,topic,theta_bar_kY
2018,EU02,0.00986
2018,EU03,0.42645
2018,EU04,0.28168
2018,EU05,0.00792
2018,EU06,0.00195
2018,EU07,0.00296
2018,EU08,0.00181
2018,EU09,6.1e-4
2018,EU10,0.03311
2018,EU11,0.00141
2018,EU12,0.17394
2018,EU13,0.0035
2018,EU14,0.05218
2018,EU15,9.7e-4
2019,EU01,6.3e-4
2019,EU02,4.2e-4
2019,EU03,0.23683
2019,EU04,0.00466
2019,EU05,0.03117
2019,EU06,0.02509
2019,EU07,9e-4
2019,EU08,0.00526
2019,EU09,0.00207
2019,EU10,0.00316
2019,EU11,0.09539
2019,EU12,0.19737
2019,EU13,8.2e-4
2019,EU14,0.39602
2019,EU15,1.9e-4
2020,EU01,0.00786
2020,EU02,0.0034
2020,EU03,0.11855
2020,EU04,0.0422
2020,EU05,0.02109
2020,EU06,0.04192
2020,EU07,0.0287
2020,EU08,0.02464
2020,EU09,0.00286
2020,EU10,0.00144
2020,EU11,0.05592
2020,EU12,0.09635
2020,EU13,8.6e-4
2020,EU14,0.55388
2020,EU15,3.3e-4
2021,EU01,0.10899
2021,EU02,0.13518
2021,EU03,0.07044
2021,EU04,0.00114
2021,EU05,0.00287
2021,EU06,0.00183
2021,EU07,0.09146
2021,EU08,4e-4
2021,EU09,0.4052
2021,EU10,6.8e-4
2021,EU11,0.15505
2021,EU12,8.4e-4
2021,EU13,2.5e-4
2021,EU14,0.02367
2021,EU15,0.002
2022,EU01,0.02664
2022,EU02,0.00141
2022,EU03,0.07808
2022,EU04,0.07114
2022,EU05,0.02557
2022,EU06,0.18384
2022,EU07,0.43051
2022,EU08,4.5e-4
2022,EU09,0.00325
2022,EU10,0.00438
2022,EU11,0.01113
2022,EU12,0.03047
2022,EU13,3.6e-4
2022,EU14,0.13214
2022,EU15,6.4e-4
2023,EU01,0.00219
2023,EU02,0.05973
2023,EU03,0.05802
2023,EU04,0.04744
2023,EU05,5.1e-4
2023,EU06,0.06467
2023,EU07,0.51836
2023,EU08,4e-5
2023,EU09,0.00128
2023,EU10,0.01719
2023,EU11,0.12523
2023,EU12,0.00502
2023,EU13,0.00201
2023,EU14,0.07809
2023,EU15,0.02021
2024,EU01,0.00571
2024,EU02,0.00533
2024,EU03,0.05741
2024,EU04,0.00136
2024,EU05,4e-5
2024,EU06,0.0018
2024,EU07,0.32911
2024,EU08,4e-5
2024,EU09,8.9e-4
2024,EU10,0.00766
2024,EU11,0.58634
2024,EU12,3e-5
2024,EU13,2.1e-4
2024,EU14,0.00139
2024,EU15,0.00267
2025,EU01,0.0136
2025,EU02,0.13308
2025,EU03,0.13072
2025,EU04,0.04092
2025,EU05,0.00173
2025,EU06,0.01598
2025,EU07,0.3589
2025,EU08,1.1e-4
2025,EU09,0.02576
2025,EU10,0.02832
2025,EU11,0.13889
2025,EU12,0.00132
2025,EU13,7e-5
2025,EU14,0.08215
2025,EU15,0.02846
