Coefficient,SE,Variable,Model
0.1700355927910053,0.005205204798871089,Intercept,US Corpus
0.008732174703414353,0.0035785782992238733,Remove Punctuation,US Corpus
0.00362085525896992,0.0035785782992238746,Remove Numbers,US Corpus
-2.979309513475469e-4,0.003578578299223874,Lowercase,US Corpus
-0.015184961829323747,0.0035785782992238746,Stemming,US Corpus
-0.05800656339182373,0.003578578299223874,Remove Stopwords,US Corpus
0.014812892957382617,0.003578578299223874,Remove Infrequent Terms,US Corpus
-0.017236201536665007,0.003578578299223874,Use NGrams,US Corpus
