topic,theta_bar_k,is_genre
US01,0.04456,FALSE
US02,0.07253,FALSE
US03,0.11139,FALSE
US04,0.05977,FALSE
US05,0.03067,FALSE
US06,0.04017,TRUE
US07,0.0396,FALSE
US08,0.05523,FALSE
US09,0.03104,FALSE
US10,0.04811,FALSE
US11,0.04192,FALSE
US12,0.026,FALSE
US13,0.02716,FALSE
US14,0.05065,FALSE
US15,0.02065,TRUE
US16,0.08442,FALSE
US17,0.05113,FALSE
US18,0.05462,FALSE
US19,0.0544,FALSE
US20,0.05598,FALSE
