year,estimate,ci_lower,ci_upper,series
2006.6683417085428,0.6161351865157523,0.5679259470046126,0.6851528155536013,US: Liberal Integration
2006.788944723618,0.6005298628197003,0.5525289816622142,0.6638345560692281,US: Liberal Integration
2006.9095477386934,0.5839723148527552,0.5365653942079953,0.6409409366152332,US: Liberal Integration
2007.0301507537688,0.5666887600795254,0.5200953909953466,0.617802330264097,US: Liberal Integration
2007.1507537688442,0.5489054159645902,0.5020220769944193,0.6024132381116014,US: Liberal Integration
2007.2713567839196,0.5308484999725293,0.47910776992994886,0.5854843521548888,US: Liberal Integration
2007.391959798995,0.5127442295679226,0.4579216675847775,0.5666966551091763,US: Liberal Integration
2007.5125628140704,0.4948188222153496,0.4373244806035036,0.547823514583943,US: Liberal Integration
2007.6331658291458,0.47729849537939034,0.4175948181663623,0.536387389252214,US: Liberal Integration
2007.7537688442212,0.4604094665246241,0.3990112894535881,0.5250736859955474,US: Liberal Integration
2007.8743718592964,0.4443779531156599,0.38185250364544665,0.5138751033615787,US: Liberal Integration
2007.9949748743718,0.4294301726170172,0.36639706992210774,0.502928449916375,US: Liberal Integration
2008.1155778894472,0.4157514934155692,0.3518551410832392,0.49234946907348187,US: Liberal Integration
2008.2361809045226,0.40334210835097667,0.3375740228991523,0.4821584124661308,US: Liberal Integration
2008.356783919598,0.3921497648414045,0.3250225698735495,0.4723484865439808,US: Liberal Integration
2008.4773869346734,0.3821222069476519,0.31411955446967776,0.46291289602535546,US: Liberal Integration
2008.5979899497488,0.3732071787305174,0.304783749150784,0.45384484562857874,US: Liberal Integration
2008.7185929648242,0.3653524242508,0.29693392638011545,0.44513754007197437,US: Liberal Integration
2008.8391959798994,0.35850568756931017,0.29048885862092977,0.4367841840738815,US: Liberal Integration
2008.9597989949748,0.3526147127468216,0.28536731833644974,0.42877798235259246,US: Liberal Integration
2009.0804020100502,0.34762724384414656,0.281488077989936,0.42111213962644706,US: Liberal Integration
2009.2010050251256,0.3434910249220839,0.2803092460052354,0.41377986061376937,US: Liberal Integration
2009.321608040201,0.3401538000414325,0.28031589770939197,0.40677435003288265,US: Liberal Integration
2009.4422110552764,0.3375633132629913,0.2799137237648532,0.40008881260211127,US: Liberal Integration
2009.5628140703518,0.33566730864755906,0.27824961910383883,0.3937164530397787,US: Liberal Integration
2009.6834170854272,0.33441353025593445,0.27747152032319355,0.38946671930009963,US: Liberal Integration
2009.8040201005026,0.33374972214891635,0.27750254754570824,0.3873119321502645,US: Liberal Integration
2009.9246231155778,0.3336236283873037,0.2782658208941715,0.386322794402045,US: Liberal Integration
2010.0452261306532,0.33398299303189455,0.2796844604913774,0.3879942716162177,US: Liberal Integration
2010.1658291457286,0.3347755601434886,0.2816815864601156,0.3925098314756486,US: Liberal Integration
2010.286432160804,0.33594907378288463,0.2826921554172663,0.397169680891283,US: Liberal Integration
2010.4070351758794,0.33745127801088143,0.28055278350558654,0.4018799078158224,US: Liberal Integration
2010.5276381909548,0.3392299168882781,0.27891155780100746,0.40654660020196887,US: Liberal Integration
2010.6482412060302,0.34123273447587316,0.27775167191347966,0.41107584600242375,US: Liberal Integration
2010.7688442211056,0.34340747483446554,0.27705631945295367,0.415373733169889,US: Liberal Integration
2010.889447236181,0.34570188202485413,0.2768826058298048,0.4193463496570663,US: Liberal Integration
2011.0100502512562,0.3480637042137277,0.2785050737989747,0.42289979447197207,US: Liberal Integration
2011.1306532663316,0.35044969379472535,0.2805278922177383,0.42596441094181525,US: Liberal Integration
2011.251256281407,0.3528446997984651,0.28292321907660917,0.42854619395607185,US: Liberal Integration
2011.3718592964824,0.3552390362013297,0.28566271401465576,0.43066585303660887,US: Liberal Integration
2011.4924623115578,0.3576230169797022,0.2887180366709461,0.4323440977052936,US: Liberal Integration
2011.6130653266332,0.35998695610996523,0.29129153579002226,0.4336016374839935,US: Liberal Integration
2011.7336683417086,0.36232116756850197,0.2896132472991942,0.4344591818945756,US: Liberal Integration
