Coefficient,SE,Variable,Model
0.15426781196011963,0.006229454174115527,Intercept,EU Corpus
5.321646755213197e-4,0.004282749744704425,Remove Punctuation,EU Corpus
0.005708437994277159,0.004282749744704426,Remove Numbers,EU Corpus
0.0012477532342042882,0.0042827497447044255,Lowercase,EU Corpus
-0.02060164736519631,0.004282749744704426,Stemming,EU Corpus
-0.0643205404088271,0.0042827497447044255,Remove Stopwords,EU Corpus
-0.0055076965413503815,0.0042827497447044255,Remove Infrequent Terms,EU Corpus
-0.021549937614185857,0.0042827497447044255,Use NGrams,EU Corpus
